FS_method,Classifier,Top_k,F1_mean,F1_std,Accuracy_mean,Precision_mean,Recall_mean,AUC_mean
mRMR,LightGBM,10,0.7864021229622936,0.022934949387086005,0.7865040534478815,0.787859209618918,0.7865040534478815,1.0
mRMR,LightGBM,70,0.7859093676432675,0.014393618813707298,0.7874065895158927,0.7905887322777613,0.7874065895158927,1.0
RFE_SVM,Stacking Ensemble,30,0.7855649589470607,0.01263930850883702,0.789025725939622,0.7989026468336046,0.789025725939622,0.9991031205730679
RF_importance,Random Forest,10,0.78407099176798,0.012397135549817551,0.7850620338334674,0.7891658540714164,0.7850620338334674,1.0
mRMR,Soft Voting Ensemble,10,0.7836910072116673,0.006807472996228583,0.7837799701152908,0.785036825365884,0.7837799701152908,0.9999941927990709
LASSO,XGBoost,30,0.7836513715172626,0.033147865161812846,0.7844766446391834,0.7851308896757955,0.7844766446391834,1.0
mRMR,XGBoost,70,0.7831915087780948,0.019833115310693157,0.7846520509066819,0.7878241937066165,0.7846520509066819,1.0
RFE_SVM,XGBoost,10,0.7824519625173574,0.01284869432938768,0.7825297652694844,0.7827285521454773,0.7825297652694844,0.994195729795068
mRMR,XGBoost,10,0.7818331676315312,0.017921030252626084,0.7821505702156987,0.7850354915373144,0.7821505702156987,0.9967684513213748
Boruta,Soft Voting Ensemble,30,0.7809502717155294,0.03230911662477892,0.7829539024051165,0.7869148165670934,0.7829539024051165,0.9997259404087498
RFE_SVM,Stacking Ensemble,50,0.7806997643720771,0.008375627265350346,0.7826863436691602,0.7907171886019153,0.7826863436691602,0.9898245407620765
ReliefF,Stacking Ensemble,90,0.7789259196917245,,0.7817589576547231,0.7877647459830146,0.7817589576547231,0.99912625600699
mRMR,Stacking Ensemble,70,0.7788856079210004,0.03902846884568829,0.7832023104512469,0.7958154179401213,0.7832023104512469,0.9755592520532943
ReliefF,Random Forest,10,0.7783129142616282,0.012976956160203845,0.7785670462469957,0.7819452029895831,0.7785670462469957,0.9997971587311155
ReliefF,Soft Voting Ensemble,10,0.7778109470051205,0.014439359659036258,0.7780352454533164,0.7786544155750578,0.7780352454533164,0.9997642375873724
RFE_SVM,Soft Voting Ensemble,10,0.7761012687050637,0.009747842946963842,0.7765772325596919,0.777436620673187,0.7765772325596919,0.9995904759426827
ReliefF,XGBoost,10,0.7744118028458423,0.01887763074425988,0.7745346130933913,0.7764607511613927,0.7745346130933913,0.9912560505662861
